seg_id,youtube_id,sentence,verb_pre_mapping,adverb_pre_mapping,clustered_verb,clustered_adverb,start_time,end_time,duration,rgb_frames,verb_label,adverb_label
YbcQL_nBBdI_104-111,YbcQL_nBBdI,flour slowly stir,stir,slowly,stir,slowly,104.1,111.6,7.5,211,2,1
p-UdOitBvus_373-379,p-UdOitBvus,fold gently start folding quarter meringue into batter mix,fold,gently,fold,gently,373.5,379.3,5.8,181,5,0
-tAWt7dZCyE_853-858,-tAWt7dZCyE,push gently,push,gently,push,gently,853.7,858.9,5.1,150,10,0
nA31OLaZl68_70-78,nA31OLaZl68,gently stir,stir,gently,stir,gently,70.1,78.9,8.8,241,2,0
fkw_aXOKZM8_148-155,fkw_aXOKZM8,grows slowly pressing,press,slowly,press,slowly,148.2,155.1,6.8,210,4,1
0FF4YRNvvbc_133-138,0FF4YRNvvbc,finely chop,chop,finely,chop,finely,133.6,139,5.3,150,1,2
lTu0xdWQAjA_49-58,lTu0xdWQAjA,stir gently fingers incorporate water into flour mixture,stir,gently,stir,gently,49.9,58.7,8.9,270,2,0
ElL0TyFwhG4_1144-1154,ElL0TyFwhG4,gently brush,brush,gently,brush,gently,1145,1154.3,9.4,250,8,0
Bwu3jZnIBdQ_328-333,Bwu3jZnIBdQ,half cup cream slowly mix into whoa,mix,slowly,mix,slowly,328.4,333.6,5.2,120,0,1
eEINfLJAODw_37-46,eEINfLJAODw,chop olives roughly chop,chop,roughly,chop,coarsely,37.4,46.7,9.3,271,1,4
dKUomyn1TYQ_51-56,dKUomyn1TYQ,use large knife gently chop chocolate little,chop,gently,chop,gently,51.3,57,5.7,121,1,0
UB4zaWBiONY_118-123,UB4zaWBiONY,edges tightly seal end leave small hole stand parchment add,seal,tightly,seal,tightly,118.1,123.9,5.9,151,36,5
0jUcGsqnaKw_247-255,0jUcGsqnaKw,slowly roll dough,roll,slowly,roll,slowly,247.8,255,7.2,240,6,1
mjdzwYREr48_191-201,mjdzwYREr48,start gently mash,mash,gently,mash,gently,191.4,201.4,10,300,34,0
mL-ry1K5arI_72-78,mL-ry1K5arI,crack pepper slowly,crack,slowly,crack,slowly,72.3,78.9,6.6,144,44,1
6uAKpjdc5to_124-130,6uAKpjdc5to,gently cutting cut little cloud shape,cut,gently,cut,gently,124.5,130.5,6,181,11,0
38ZmkALXmmQ_153-171,38ZmkALXmmQ,food coloring into center start kneading lightly hands,knead,lightly,knead,gently,153.3,171.8,18.5,540,20,0
udefkeMKVgM_41-46,udefkeMKVgM,using sifter lightly knead fondant,knead,lightly,knead,gently,41.9,47,5.1,120,20,0
7tshkTihWFE_1029-1037,7tshkTihWFE,pour noodles into bowl lightly coat,coat,lightly,coat,gently,1029.6,1037.9,8.2,241,15,0
FkBdMjro8IM_150-157,FkBdMjro8IM,optional mix quickly taste test,mix,quickly,mix,quickly,150,157.3,7.3,176,0,3
ATSzlBx21Is_60-73,ATSzlBx21Is,add milk whisking slowly,whisk,slowly,whisk,slowly,60.8,73.1,12.3,389,7,1
HJIsi2yoC7Q_214-220,HJIsi2yoC7Q,wash hands real quickly slice butter,wash,quickly,wash,quickly,214.1,220.7,6.6,180,39,3
mYQwRZaffCA_141-149,mYQwRZaffCA,bunch cloth slowly squeeze milk,squeeze,slowly,squeeze,slowly,141.7,149.2,7.4,192,16,1
PRTHcorzycI_59-68,PRTHcorzycI,small bowl lightly beat egg add stir into potatoes flour,beat,lightly,beat,gently,59.5,68,8.5,269,14,0
u6NQTJgKGLU_94-110,u6NQTJgKGLU,grate ginger finely big mixing,grate,finely,grate,finely,94.9,110.9,16,400,41,2
n6twOChiY4Q_814-821,n6twOChiY4Q,board got growing user finely chop,chop,finely,chop,finely,814.9,821.9,6.9,211,1,2
t48MGpMKhOY_151-156,t48MGpMKhOY,mixing gently folding flour edges bar mixing into,mix,gently,mix,gently,151.3,157,5.7,125,0,0
Ts2RbqH2El4_172-178,Ts2RbqH2El4,paneer cubes salt mix gently stage cook,mix,gently,mix,gently,173,178.7,5.8,150,0,0
J7NNP2b_On4_290-297,J7NNP2b_On4,push gently into,push,gently,push,gently,290.4,297.9,7.5,175,10,0
YPL8BwHRxIc_45-52,YPL8BwHRxIc,plastic wrap wrap tightly,wrap,tightly,wrap,tightly,45.1,52.1,7,211,17,5
wwPOc6O26V8_156-164,wwPOc6O26V8,slowly pour mix cooked,pour,slowly,pour,slowly,156.5,164,7.5,240,3,1
rrjC5e8wjVw_123-131,rrjC5e8wjVw,fold gently fold,fold,gently,fold,gently,123,131.9,8.9,192,5,0
ZkU8-HpMkzY_184-189,ZkU8-HpMkzY,lightly dip make drip batter add,dip,lightly,dip,gently,184.7,189.9,5.1,121,31,0
nx1PGKrSmDQ_1436-1442,nx1PGKrSmDQ,press lightly into,press,lightly,press,gently,1436.8,1442.2,5.4,180,4,0
-NRhQnweM7U_147-153,-NRhQnweM7U,bun tops cover tightly foil into,cover,tightly,cover,tightly,147.8,153.6,5.8,182,9,5
NigGTRQkzTE_122-130,NigGTRQkzTE,spread lightly,spread,lightly,spread,gently,122.3,130.2,7.9,200,13,0
Ft6oMK3q19o_88-101,Ft6oMK3q19o,spoon gently press raspberries,press,gently,press,gently,88.6,102,13.3,390,4,0
fw6rS5OPpSw_237-243,fw6rS5OPpSw,chop finely,chop,finely,chop,finely,237.8,243,5.2,151,1,2
WXJD4TkCKlE_87-151,WXJD4TkCKlE,beat lightly 3 4 cup sugar 3 4 cup melted butter,beat,lightly,beat,gently,127.6,185.6,59,538,14,0
uCo_-qpk6es_542-548,uCo_-qpk6es,gently mixing,mix,gently,mix,gently,542.9,548.6,5.8,150,0,0
OqTLLp0HjHc_45-52,OqTLLp0HjHc,mixture stir gently combine,stir,gently,stir,gently,45.5,52.6,7.1,211,2,0
0Zf-zOF7I7M_225-230,0Zf-zOF7I7M,3 tablespoons gently stir come boil,stir,gently,stir,gently,225,230.5,5.5,151,2,0
LYDwRgIMc-Y_301-311,LYDwRgIMc-Y,coriander mix gently,mix,gently,mix,gently,301.4,311.1,9.7,250,0,0
wOLK8eWs1mg_83-91,wOLK8eWs1mg,finely cutting board rough chop,cut,finely,cut,finely,83.8,91.1,7.2,191,11,2
GFOLwWjhcyE_120-128,GFOLwWjhcyE,press gently,press,gently,press,gently,120.3,128.4,8.1,241,4,0
V-T-kbSlx24_184-193,V-T-kbSlx24,gently stir,stir,gently,stir,gently,184.2,193.1,9,271,2,0
RPcWBCpiiN8_193-202,RPcWBCpiiN8,gently stir,stir,gently,stir,gently,193.4,202.3,8.9,271,2,0
TH155psL9DI_19-24,TH155psL9DI,finely chop herbs,chop,finely,chop,finely,19.3,24.8,5.5,125,1,2
FTeEKwvMrH4_108-115,FTeEKwvMrH4,pineapple mixture gently stir,stir,gently,stir,gently,108.4,115.3,6.9,210,2,0
85kjWE5SPtI_113-118,85kjWE5SPtI,slowly half hour lentils cover turn heat,cover,slowly,cover,slowly,113.1,118.8,5.7,150,9,1
A6nZnKmZvh0_328-334,A6nZnKmZvh0,rolling gently,roll,gently,roll,gently,328.4,334.8,6.4,180,6,0
HElOqQDtN5Y_253-259,HElOqQDtN5Y,stir swiftly minute,stir,swiftly,stir,quickly,253.6,259.7,6.1,150,2,3
fQA_x-2uNzg_303-310,fQA_x-2uNzg,final step slowly pour corn,pour,slowly,pour,slowly,303.7,310.4,6.8,210,3,1
vwUODDKE5m4_100-105,vwUODDKE5m4,cheese life finely chop tomatoes,chop,finely,chop,finely,100.1,105.2,5.1,150,1,2
PciDbONPgpk_306-311,PciDbONPgpk,good roll paste gently spreading table,spread,gently,spread,gently,306.5,311.7,5.2,125,13,0
t3cXh6v9d2I_38-48,t3cXh6v9d2I,roughly chop onions,chop,roughly,chop,coarsely,38.6,48.9,10.3,251,1,4
Gz_iQVf12bU_114-124,Gz_iQVf12bU,mixing slowly add water form stiff dough,mix,slowly,mix,slowly,114.3,124.5,10.2,300,0,1
GNvh9TDfH9g_195-202,GNvh9TDfH9g,roughly parts handful stir,stir,roughly,stir,coarsely,195.8,203,7.2,175,2,4
c_5l9iycX04_617-626,c_5l9iycX04,pour slowly mix,pour,slowly,pour,slowly,617.6,626.3,8.7,271,3,1
1wT1bAOS8Kc_107-136,1wT1bAOS8Kc,slowly mix,mix,slowly,mix,slowly,107.7,136.5,28.8,854,0,1
zbVWAAuQzvo_363-372,zbVWAAuQzvo,roots press soil gently,press,gently,press,gently,363.8,372.2,8.4,270,4,0
cUxhbtbo8vk_159-168,cUxhbtbo8vk,trim edges gently cutting,cut,gently,cut,gently,159.6,168.4,8.8,269,11,0
EIRExyP1BvM_131-138,EIRExyP1BvM,stir add hot sugar solution slowly,stir,slowly,stir,slowly,131.4,139,7.5,175,2,1
SRs0E4FhwN8_149-155,SRs0E4FhwN8,temper eggs slowly pour liquid egg steering times,pour,slowly,pour,slowly,149.8,155.5,5.7,180,3,1
angQLJ9Rh8w_169-175,angQLJ9Rh8w,slowly pour hot,pour,slowly,pour,slowly,169.4,175.9,6.5,145,3,1
Wuo_pwo5JuU_106-111,Wuo_pwo5JuU,water thicken stir vigorously,stir,vigorously,stir,vigorously,106.5,111.8,5.3,150,2,6
D-7DfJPEw30_467-474,D-7DfJPEw30,pour slowly,pour,slowly,pour,slowly,467.6,474.5,7,169,3,1
7mT73XOI8cg_74-83,7mT73XOI8cg,chopped mint leaves shake dressing ingredients vigorously,shake,vigorously,shake,vigorously,74.9,83,8.1,217,24,6
GfDbobTdano_336-341,GfDbobTdano,film pastry cream stir gently unfold disposable piping bag,stir,gently,stir,gently,336.4,342,5.6,125,2,0
ZKnrRIsJMRE_172-177,ZKnrRIsJMRE,gently twist get candy,twist,gently,twist,gently,172.5,177.5,5,150,40,0
NnF9dDjWeu8_75-85,NnF9dDjWeu8,whites slowly fold,fold,slowly,fold,slowly,75.8,85.2,9.4,240,5,1
bIVscnz99nw_251-256,bIVscnz99nw,lightly beat egg,beat,lightly,beat,gently,251.8,256.9,5.2,150,14,0
mAKDxeteX2o_258-268,mAKDxeteX2o,cover loosely,cover,loosely,cover,loosely,258.3,268.2,9.9,240,9,8
FHaxV3EhdEM_87-92,FHaxV3EhdEM,quickly mix,mix,quickly,mix,quickly,87.2,93,5.7,126,0,3
Umt-lKqWe2k_475-488,Umt-lKqWe2k,slowly whisk powdered,whisk,slowly,whisk,slowly,475.2,488.9,13.7,390,7,1
-m6okcwSsjI_277-283,-m6okcwSsjI,gently stir make,stir,gently,stir,gently,277.4,283.3,5.9,180,2,0
kJWmM1Gsus0_28-33,kJWmM1Gsus0,peel onion finely chop set aside,chop,finely,chop,finely,28.3,33.5,5.2,121,1,2
pRmEL_ULA1Y_413-418,pRmEL_ULA1Y,quite quickly fill waiting,fill,quickly,fill,quickly,413.4,418.6,5.2,152,28,3
lZiwSJWeFiA_83-93,lZiwSJWeFiA,toss lightly coat tortillas little oil coated,coat,lightly,coat,gently,83,93.6,10.6,301,15,0
7OaTXCD02as_234-243,7OaTXCD02as,pour chocolate cake real slowly,pour,slowly,pour,slowly,234,243.3,9.3,216,3,1
Zn0GzVzVyts_523-528,Zn0GzVzVyts,spread thinly,spread,thinly,spread,finely,523.3,528.3,5,152,13,2
G8uUSnUz4T4_406-417,G8uUSnUz4T4,center start wrapping petals nice tightly,wrap,tightly,wrap,tightly,406.7,417.1,10.4,332,17,5
MMOlVZGa1zo_188-194,MMOlVZGa1zo,lightly brush grapeseed oil add salt,brush,lightly,brush,gently,188.9,194.9,6.1,60,8,0
l__lO7ouU3o_1340-1348,l__lO7ouU3o,stir sugar quickly return full,stir,quickly,stir,quickly,1341,1348.6,7.6,240,2,3
